50.;;;7308 9098;;;;Vzpera PVC 230/38+manûeta;;;;;;;;;;3;;;ks;;;6,03;20;;;;18,09;;;21,71;
51.;;;7308 9098;;;;Vzpera PVC 250/38+manûeta;;;;;;;;;;29;;;ks;;;6,47;20;;;;187,63;;;225,16;
52.;;;7308 9098;;;;Vzpera Zn 200/38+öik.Ë.;;;;;;;;;;70;;;ks;;;4,65;20;;;;325,50;;;390,60;
53.;;;7308 9098;;;;Vzpera Zn 250/38+öik.Ë.;;;;;;;;;;71;;;ks;;;5,50;20;;;;390,50;;;468,60;
54.;;;7308 9098;;;;Vzpera poplast. 38/200 Zn+PVC öik.Ë.;;;;;;;;;;21;;;ks;;;5,30;20;;;;111,30;;;133,56;
55.;;;;;;;Spinky GF1 PVC/50ks;;;;;;;;;;10;;;bal.;;;0,88;20;;;;8,80;;;10,56;
56.;;;;;;;Spinky GF1 ZN/50ks;;;;;;;;;;20;;;bal.;;;0,50;20;;;;10,00;;;12,00;
57.;;;;;;;Napin·k M6;;;;;;;;;;113;;;ks;;;0,58;20;;;;65,54;;;78,65;
58.;;;;;;;Manûeta 38;;;;;;;;;;22;;;ks;;;1,17;20;;;;25,74;;;30,89;
59.;;;;;;;»iapka öikm· s prÌsluö. 48;;;;;;;;;;51;;;ks;;;1,00;20;;;;51,00;;;61,20;
60.;;;;;;;»iapka öikm· s prÌsluö. 38;;;;;;;;;;11;;;ks;;;0,67;20;;;;7,37;;;8,84;
61.;;;;;;;ObjÌmka PVC 38 priebeûn·;;;;;;;;;;14;;;ks;;;1,04;20;;;;14,56;;;17,47;
62.;;;;;;;ObjÌmka PVC 48 so skrutkou a maticou;;;;;;;;;;27;;;ks;;;0,99;20;;;;26,73;;;32,08;
63.;;;;;;;ObjÌmka PVC 38 so skrutkou a maticou;;;;;;;;;;42;;;ks;;;0,99;20;;;;41,58;;;49,90;
64.;;;;;;;ObjÌmka PVC 60;;;;;;;;;;30;;;ks;;;1,08;20;;;;32,40;;;38,88;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Sadzba DPH;;;;;Bez DPH;;;;DPH;;;;;;;S DPH
;;;;;;;;;;;;;;;;20;;%;;;11†258,50;;;;2†251,70;;;;;;;13†510,20
;Fakt˙ra sl˙ûi z·roveÚ ako dodacÌ list;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;10;;%;;;0,00;;;;0,00;;;;;;;0,00
;;;;;;;;;;;;;;;;0;;%;;;0,00;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;Neobsahuje DPH;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;S˙Ëet;;;;;11†258,50;;;;2†251,70;;;;;;;13†510,20
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Celkov· fakturovan· suma:;;;;;;;;;;;EUR;;;13†510,20;;
;;;;;;;;;;;;;;;;OdpoËet preddavku:;;;;;;;;;;;EUR;;;0,00;;
;;;;;;;;;;;;;;;;K ˙hrade:;;;;;;;;;;;EUR;;;13†510,20;;
;;"Prenesenie daÚovej povinnosti.
Na poloûky, pri ktor˝ch nie je uveden· DPH sa vzùahuje prenos daÚovej povinnosti na prÌjemcu plnenia podæa ß69 ods.12 pÌs.g) z·kona
o DPH Ë.222/2004 v z.n.p. Odberateæ deklaruje svoje I» DPH platiteæa, ËÌm preukazuje, ûe ide o k˙pu na jeho podnikanie.
V zmysle citovanÈho ustanovenia je daÚ povinn˝ vyk·zaù a platiù kupuj˙ci.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tovar prevzal :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;PeËiatka a podpis;;;;;;;;;;;;;;;;
Vyhotovil: Tester, Tel.: 123456789, email: tester@example.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VytvorenÈ v†programe ALFA plus - jednoduchÈ ˙ËtovnÌctvo a†legislatÌva bez starostÌ. © KROS a.s., www.kros.sk/alfaplus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
